               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  27,             0.05205,             0.00997,           0.0023301,             0.72022,             0.63784,             0.66296,             0.33732,            0.044222,           0.0061666,           0.0016499,            0.008713,            0.008713,            0.008713
                  28,            0.050734,           0.0097718,           0.0024218,             0.79342,             0.67388,             0.72479,             0.38568,            0.042294,           0.0056947,          0.00087743,           0.0086635,           0.0086635,           0.0086635
                  29,            0.050921,           0.0098683,           0.0024059,              0.7045,             0.63569,              0.6613,             0.32579,            0.045806,           0.0061734,           0.0029584,            0.008614,            0.008614,            0.008614
                  30,            0.051197,           0.0099176,           0.0020356,             0.79516,             0.67533,             0.72339,             0.37341,            0.041233,           0.0058099,          0.00070298,           0.0085645,           0.0085645,           0.0085645
                  31,            0.050707,           0.0096108,           0.0020856,             0.78057,             0.67366,             0.71958,             0.36214,            0.040929,           0.0058184,           0.0013027,            0.008515,            0.008515,            0.008515
                  32,            0.049659,           0.0096279,            0.002231,             0.80386,             0.69909,             0.72896,             0.39061,            0.040902,           0.0056194,          0.00078997,           0.0084655,           0.0084655,           0.0084655
                  33,            0.049683,           0.0096269,           0.0021741,              0.7525,             0.68413,             0.70233,             0.36702,            0.040772,           0.0057554,           0.0017306,            0.008416,            0.008416,            0.008416
                  34,            0.050064,           0.0096757,            0.002075,             0.78853,             0.71119,             0.76186,             0.41931,            0.039133,           0.0054902,          0.00062654,           0.0083665,           0.0083665,           0.0083665
                  35,            0.049541,           0.0093456,           0.0018605,             0.78601,             0.69548,             0.72169,             0.37815,            0.039858,           0.0060201,          0.00068107,            0.008317,            0.008317,            0.008317
                  36,            0.048952,           0.0095124,           0.0017602,             0.81546,             0.71754,             0.76524,             0.39593,            0.040157,           0.0054973,          0.00054641,           0.0082675,           0.0082675,           0.0082675
                  37,            0.048701,           0.0093346,            0.001863,             0.79064,             0.70934,             0.73255,             0.38753,            0.040086,           0.0057564,          0.00063504,            0.008218,            0.008218,            0.008218
                  38,            0.048812,           0.0094313,           0.0019071,             0.80201,             0.72358,             0.74282,             0.39052,              0.0394,            0.005474,          0.00078558,           0.0081685,           0.0081685,           0.0081685
                  39,            0.048452,           0.0094619,           0.0017781,             0.74892,             0.68884,             0.74681,             0.39641,            0.038875,           0.0055976,          0.00088933,            0.008119,            0.008119,            0.008119
                  40,             0.04827,           0.0095161,           0.0017225,             0.78787,             0.72937,             0.75879,             0.40296,            0.038308,           0.0053654,          0.00086177,           0.0080695,           0.0080695,           0.0080695
                  41,            0.047773,           0.0088704,           0.0017001,             0.83088,             0.70029,             0.76408,             0.40135,            0.038577,           0.0054278,          0.00051676,             0.00802,             0.00802,             0.00802
                  42,            0.047036,           0.0091488,           0.0018506,             0.75777,             0.72668,             0.75904,             0.40719,             0.03821,           0.0052329,          0.00069861,           0.0079705,           0.0079705,           0.0079705
                  43,            0.047363,           0.0094163,           0.0017471,             0.77496,             0.72445,             0.75415,             0.39416,            0.039088,           0.0054928,          0.00048341,            0.007921,            0.007921,            0.007921
                  44,            0.047346,           0.0089587,           0.0016576,              0.8419,             0.72181,             0.77403,             0.42351,            0.037729,           0.0052431,          0.00060158,           0.0078715,           0.0078715,           0.0078715
                  45,            0.046306,           0.0091044,            0.001703,             0.75519,             0.74045,             0.76317,             0.40458,            0.038165,           0.0052947,          0.00065661,            0.007822,            0.007822,            0.007822
                  46,            0.046173,           0.0089243,           0.0016222,             0.80281,             0.72515,             0.78173,             0.42908,            0.037281,           0.0050775,          0.00054091,           0.0077725,           0.0077725,           0.0077725
                  47,            0.046813,           0.0089066,           0.0017481,             0.83303,             0.72173,             0.76509,             0.42523,             0.03761,           0.0051636,          0.00045775,            0.007723,            0.007723,            0.007723
                  48,            0.046493,           0.0092656,           0.0015306,             0.79349,             0.73944,             0.77814,             0.42475,            0.036644,           0.0050519,          0.00043744,           0.0076735,           0.0076735,           0.0076735
                  49,            0.046293,           0.0088314,            0.001458,             0.75703,             0.74548,             0.74989,             0.42118,             0.03701,           0.0050885,          0.00053536,            0.007624,            0.007624,            0.007624
                  50,            0.046034,           0.0090792,           0.0014657,             0.79033,             0.76043,             0.78907,             0.43954,            0.036612,           0.0050845,           0.0004464,           0.0075745,           0.0075745,           0.0075745
                  51,            0.045398,           0.0090204,           0.0014556,             0.86095,             0.72573,             0.77776,              0.4294,             0.03667,           0.0050867,          0.00044635,            0.007525,            0.007525,            0.007525
                  52,            0.045822,           0.0088161,           0.0015302,             0.82221,             0.75515,             0.78944,             0.45112,            0.035805,           0.0050516,           0.0004811,           0.0074755,           0.0074755,           0.0074755
                  53,            0.045341,           0.0089509,           0.0014102,             0.80597,             0.73207,             0.76582,             0.42511,            0.036719,           0.0050218,          0.00037889,            0.007426,            0.007426,            0.007426
                  54,            0.044565,           0.0086422,           0.0012954,             0.80861,               0.769,             0.79058,             0.44552,            0.036132,             0.00501,          0.00041785,           0.0073765,           0.0073765,           0.0073765
                  55,            0.045137,           0.0086534,            0.001608,              0.8029,               0.774,             0.80224,             0.44946,            0.035635,           0.0049388,          0.00041173,            0.007327,            0.007327,            0.007327
                  56,            0.045048,           0.0088152,           0.0013339,             0.82756,             0.76837,             0.80541,             0.45603,            0.035523,           0.0049859,          0.00043599,           0.0072775,           0.0072775,           0.0072775
                  57,            0.044616,           0.0086279,           0.0012461,              0.8173,             0.75439,             0.78789,             0.44335,            0.036173,           0.0048791,          0.00036783,            0.007228,            0.007228,            0.007228
                  58,             0.04446,           0.0086916,           0.0014658,             0.82083,              0.7647,             0.79035,              0.4388,            0.035935,           0.0049343,           0.0004572,           0.0071785,           0.0071785,           0.0071785
                  59,            0.044226,           0.0085993,           0.0012709,             0.84993,             0.76306,             0.80978,             0.45478,            0.035202,           0.0048698,          0.00039008,            0.007129,            0.007129,            0.007129
                  60,            0.044179,           0.0086124,            0.001103,             0.81844,             0.76665,             0.80543,             0.46101,            0.034821,           0.0048048,          0.00037635,           0.0070795,           0.0070795,           0.0070795
                  61,            0.043768,           0.0082966,           0.0013381,             0.81989,             0.76427,             0.78945,             0.45715,            0.035481,           0.0049036,           0.0003573,             0.00703,             0.00703,             0.00703
                  62,            0.044029,            0.008485,           0.0012525,             0.83398,             0.76308,              0.7869,             0.44112,            0.035079,           0.0048737,          0.00042135,           0.0069805,           0.0069805,           0.0069805
                  63,            0.044873,            0.008478,           0.0014877,             0.81571,              0.7705,             0.80274,             0.45357,             0.03547,            0.004934,           0.0003911,            0.006931,            0.006931,            0.006931
                  64,            0.043114,           0.0084627,           0.0010806,              0.8223,             0.76521,             0.80139,             0.46159,            0.035172,           0.0047669,          0.00034087,           0.0068815,           0.0068815,           0.0068815
                  65,            0.043677,           0.0085028,           0.0011586,             0.85833,               0.787,             0.82679,             0.45268,            0.034498,           0.0047417,          0.00033023,            0.006832,            0.006832,            0.006832
                  66,            0.043545,           0.0085236,           0.0012471,             0.82058,             0.78686,              0.8099,             0.47234,             0.03414,           0.0047287,          0.00034365,           0.0067825,           0.0067825,           0.0067825
                  67,            0.043259,           0.0085022,            0.001167,             0.85456,             0.77102,             0.81143,               0.464,            0.034663,           0.0047067,           0.0003531,            0.006733,            0.006733,            0.006733
                  68,            0.042601,            0.008298,            0.001093,             0.79187,             0.79863,              0.8003,             0.44593,            0.034909,           0.0047182,          0.00032953,           0.0066835,           0.0066835,           0.0066835
                  69,            0.043226,           0.0083776,           0.0012706,             0.84521,             0.78553,              0.8114,             0.45851,            0.034351,           0.0047208,          0.00033704,            0.006634,            0.006634,            0.006634
                  70,            0.042119,              0.0084,           0.0012392,             0.83591,             0.77156,             0.81484,             0.46616,            0.034249,           0.0046653,          0.00037188,           0.0065845,           0.0065845,           0.0065845
                  71,            0.042821,           0.0083961,           0.0011045,             0.83412,             0.76794,             0.80021,             0.45686,             0.03447,            0.004741,          0.00033603,            0.006535,            0.006535,            0.006535
                  72,            0.042336,           0.0083851,           0.0012805,             0.82972,             0.75587,             0.81051,              0.4661,            0.034339,           0.0047804,          0.00043297,           0.0064855,           0.0064855,           0.0064855
                  73,            0.042599,           0.0084975,           0.0011084,             0.83415,             0.79172,             0.82242,             0.47995,            0.033993,           0.0046444,          0.00035685,            0.006436,            0.006436,            0.006436
                  74,            0.042133,           0.0082173,           0.0012116,             0.84278,             0.78871,             0.82419,             0.47812,            0.033701,           0.0046796,          0.00033462,           0.0063865,           0.0063865,           0.0063865
                  75,            0.042481,           0.0082052,            0.001476,             0.82113,             0.80342,              0.8151,             0.44915,            0.034103,           0.0047155,          0.00037123,            0.006337,            0.006337,            0.006337
                  76,            0.042352,           0.0083693,           0.0012585,             0.83525,              0.7946,             0.83072,             0.47723,            0.033279,           0.0046471,          0.00031949,           0.0062875,           0.0062875,           0.0062875
                  77,            0.041958,           0.0082928,           0.0010929,             0.85738,             0.78287,             0.82644,             0.48148,             0.03348,           0.0045841,           0.0003513,            0.006238,            0.006238,            0.006238
                  78,            0.042263,           0.0084341,           0.0011684,             0.84652,             0.78269,             0.82032,             0.47083,            0.033973,           0.0045983,          0.00033996,           0.0061885,           0.0061885,           0.0061885
                  79,            0.041651,           0.0081017,           0.0011799,             0.84385,             0.77171,             0.82169,             0.47885,            0.034027,           0.0046929,          0.00034763,            0.006139,            0.006139,            0.006139
                  80,            0.042034,           0.0080741,           0.0011892,             0.84491,             0.77932,             0.82393,             0.48456,            0.033293,           0.0045578,          0.00037409,           0.0060895,           0.0060895,           0.0060895
                  81,            0.041509,           0.0081767,          0.00099391,             0.86913,             0.77562,             0.82261,             0.46703,            0.033291,           0.0046248,          0.00032341,             0.00604,             0.00604,             0.00604
                  82,            0.041739,            0.008291,           0.0011496,             0.83686,             0.79102,             0.82745,             0.47984,            0.033307,           0.0045494,          0.00032708,           0.0059905,           0.0059905,           0.0059905
                  83,            0.041771,           0.0080386,            0.001154,              0.8534,             0.79419,             0.83007,             0.47955,            0.033529,           0.0045917,          0.00031085,            0.005941,            0.005941,            0.005941
                  84,            0.041895,           0.0082189,           0.0010514,             0.83703,             0.78381,             0.82758,             0.49313,            0.032824,           0.0045497,          0.00033325,           0.0058915,           0.0058915,           0.0058915
                  85,            0.041296,           0.0081599,          0.00098848,             0.86363,             0.78445,              0.8394,             0.49208,            0.032795,           0.0045683,          0.00027673,            0.005842,            0.005842,            0.005842
                  86,             0.04157,           0.0080113,          0.00090558,             0.84368,             0.79347,             0.83778,             0.48012,            0.032828,            0.004485,          0.00029925,           0.0057925,           0.0057925,           0.0057925
                  87,            0.041224,            0.008099,           0.0010289,             0.85678,             0.78059,             0.83662,              0.4917,            0.033287,           0.0045112,          0.00029939,            0.005743,            0.005743,            0.005743
                  88,            0.040782,           0.0080815,           0.0010132,             0.85022,             0.80464,             0.83796,             0.47985,            0.033372,           0.0045428,          0.00030339,           0.0056935,           0.0056935,           0.0056935
                  89,             0.04112,           0.0081547,           0.0010896,             0.83076,             0.78924,              0.8255,             0.48643,            0.032693,           0.0045497,          0.00032878,            0.005644,            0.005644,            0.005644
                  90,            0.040874,           0.0082025,          0.00096233,             0.82557,             0.80891,             0.83319,             0.48554,            0.032981,           0.0045171,           0.0003221,           0.0055945,           0.0055945,           0.0055945
                  91,            0.040732,           0.0079375,            0.001149,             0.83722,             0.79022,             0.82078,             0.48728,             0.03241,            0.004457,           0.0002937,            0.005545,            0.005545,            0.005545
                  92,            0.040585,           0.0080297,          0.00090046,             0.82408,             0.80738,             0.83134,             0.48281,            0.032255,            0.004488,          0.00028484,           0.0054955,           0.0054955,           0.0054955
                  93,            0.041107,           0.0079665,           0.0010109,             0.82624,             0.80417,             0.83134,             0.48247,            0.032464,           0.0044425,          0.00034157,            0.005446,            0.005446,            0.005446
                  94,            0.040632,            0.007859,          0.00097479,             0.84163,             0.80592,              0.8371,             0.48915,            0.032608,           0.0044641,          0.00028065,           0.0053965,           0.0053965,           0.0053965
                  95,            0.040167,           0.0079062,          0.00093802,             0.85281,             0.80956,             0.83538,             0.49054,            0.032144,           0.0044172,          0.00030474,            0.005347,            0.005347,            0.005347
                  96,            0.040443,           0.0081264,          0.00094004,               0.824,             0.79684,             0.82193,              0.4799,            0.032455,           0.0044256,            0.000303,           0.0052975,           0.0052975,           0.0052975
                  97,            0.039876,           0.0079143,          0.00097347,             0.84216,             0.79369,             0.83028,             0.48173,            0.032285,           0.0044084,          0.00028525,            0.005248,            0.005248,            0.005248
                  98,            0.040652,           0.0081152,          0.00096547,             0.82289,             0.81804,             0.83684,             0.47635,            0.032684,            0.004384,          0.00029648,           0.0051985,           0.0051985,           0.0051985
                  99,            0.040179,            0.007915,          0.00094156,             0.86506,             0.79702,             0.84941,             0.48891,            0.032212,           0.0043703,          0.00027381,            0.005149,            0.005149,            0.005149
                 100,            0.039426,           0.0076503,          0.00092585,             0.86859,             0.80648,             0.85247,             0.49244,             0.03191,           0.0043904,           0.0002679,           0.0050995,           0.0050995,           0.0050995
                 101,            0.039913,           0.0077404,           0.0009318,             0.86804,             0.79594,             0.83994,             0.49401,            0.031822,           0.0043811,          0.00024946,             0.00505,             0.00505,             0.00505
                 102,            0.039068,           0.0077622,          0.00083667,             0.87597,             0.78956,             0.84071,             0.48665,            0.032055,           0.0043725,          0.00026313,           0.0050005,           0.0050005,           0.0050005
                 103,            0.039704,           0.0076447,          0.00099676,             0.83626,             0.79749,             0.83948,             0.49432,            0.032072,           0.0044164,          0.00028456,            0.004951,            0.004951,            0.004951
                 104,            0.039448,           0.0078508,          0.00087291,             0.86157,             0.78937,             0.83143,             0.48849,            0.032197,           0.0043793,          0.00026182,           0.0049015,           0.0049015,           0.0049015
                 105,            0.039634,           0.0079226,          0.00072029,             0.86243,             0.80481,             0.84366,             0.49615,            0.031715,           0.0043309,          0.00021921,            0.004852,            0.004852,            0.004852
                 106,            0.039923,           0.0077718,          0.00094003,             0.83143,             0.80653,             0.83055,             0.49532,              0.0317,           0.0043326,           0.0002564,           0.0048025,           0.0048025,           0.0048025
                 107,            0.039834,           0.0080627,          0.00092384,             0.87148,             0.80479,             0.84602,             0.49143,            0.031773,           0.0043145,          0.00024178,            0.004753,            0.004753,            0.004753
                 108,            0.039757,            0.007941,          0.00095301,             0.87137,             0.80448,             0.83914,             0.49288,            0.031865,           0.0043463,          0.00025348,           0.0047035,           0.0047035,           0.0047035
                 109,            0.038972,           0.0077421,           0.0009033,             0.86931,             0.80291,             0.84437,             0.49378,            0.031738,           0.0043123,          0.00026731,            0.004654,            0.004654,            0.004654
                 110,            0.038921,            0.007798,          0.00082851,             0.88698,             0.80338,             0.84603,             0.49565,            0.031725,           0.0043221,          0.00023634,           0.0046045,           0.0046045,           0.0046045
                 111,            0.038781,           0.0076983,          0.00076726,             0.86765,             0.81069,             0.85264,             0.50311,            0.031536,           0.0043288,          0.00023238,            0.004555,            0.004555,            0.004555
                 112,            0.039073,           0.0076262,          0.00081354,             0.88768,             0.80286,             0.85133,             0.50136,            0.031443,           0.0043087,          0.00024104,           0.0045055,           0.0045055,           0.0045055
                 113,            0.039029,           0.0077422,          0.00097857,             0.86428,             0.80489,             0.85221,             0.50752,            0.031226,           0.0043022,          0.00025215,            0.004456,            0.004456,            0.004456
                 114,             0.03902,           0.0076908,          0.00083344,             0.86049,             0.81534,             0.85223,             0.50304,            0.031532,           0.0043134,           0.0002424,           0.0044065,           0.0044065,           0.0044065
                 115,            0.038992,           0.0078569,          0.00084904,              0.8515,             0.80767,             0.85652,             0.49841,            0.030991,           0.0043113,          0.00023643,            0.004357,            0.004357,            0.004357
                 116,            0.038985,           0.0076721,          0.00093122,             0.87518,             0.80136,             0.85056,             0.50454,            0.030977,           0.0042827,          0.00023272,           0.0043075,           0.0043075,           0.0043075
                 117,            0.038459,           0.0076889,          0.00091526,             0.86399,             0.81457,             0.85158,             0.49531,            0.031488,           0.0042807,          0.00024643,            0.004258,            0.004258,            0.004258
                 118,            0.038592,           0.0074323,          0.00090892,              0.8747,             0.81526,              0.8551,             0.50387,            0.031263,           0.0042865,          0.00024499,           0.0042085,           0.0042085,           0.0042085
                 119,            0.038394,           0.0076526,          0.00084147,             0.85579,             0.82026,             0.84906,             0.50934,            0.030903,           0.0042548,          0.00024455,            0.004159,            0.004159,            0.004159
                 120,            0.038827,           0.0077337,          0.00081757,             0.86291,             0.81613,              0.8525,             0.50068,            0.031106,           0.0042513,          0.00023383,           0.0041095,           0.0041095,           0.0041095
                 121,            0.037835,           0.0077088,           0.0007139,             0.86594,             0.81608,             0.85603,             0.50031,            0.030983,           0.0042331,          0.00022835,             0.00406,             0.00406,             0.00406
                 122,            0.038219,           0.0075616,          0.00066381,             0.86801,             0.81672,             0.84994,             0.50606,             0.03099,           0.0042271,          0.00023681,           0.0040105,           0.0040105,           0.0040105
                 123,            0.038196,           0.0076093,          0.00066669,             0.86615,             0.81777,             0.84617,             0.51073,            0.030898,           0.0042316,          0.00021852,            0.003961,            0.003961,            0.003961
                 124,            0.038145,           0.0076827,          0.00053733,             0.87963,             0.79802,             0.85064,             0.52262,            0.030727,           0.0042114,           0.0002181,           0.0039115,           0.0039115,           0.0039115
                 125,             0.03838,           0.0074608,          0.00069081,             0.84194,             0.82737,             0.84972,              0.5084,             0.03089,           0.0042132,          0.00021593,            0.003862,            0.003862,            0.003862
                 126,            0.037427,           0.0074296,          0.00080365,             0.84516,             0.83362,             0.85868,              0.5112,            0.030628,           0.0042286,           0.0002123,           0.0038125,           0.0038125,           0.0038125
                 127,            0.037552,           0.0073795,          0.00073482,             0.87476,             0.80488,             0.85182,             0.51319,            0.030807,           0.0042387,          0.00022374,            0.003763,            0.003763,            0.003763
                 128,            0.038067,           0.0077446,          0.00062978,              0.8877,             0.80264,             0.85497,             0.51565,            0.030777,           0.0042155,          0.00022238,           0.0037135,           0.0037135,           0.0037135
                 129,            0.038203,           0.0076556,          0.00085918,             0.87228,             0.80679,             0.85162,             0.51123,            0.030541,           0.0041976,          0.00021586,            0.003664,            0.003664,            0.003664
                 130,            0.037378,            0.007629,          0.00073856,             0.86655,             0.81032,             0.85306,              0.5153,            0.030725,           0.0042064,          0.00020825,           0.0036145,           0.0036145,           0.0036145
                 131,            0.037659,           0.0074566,          0.00077823,             0.87702,             0.81137,             0.85222,             0.51482,            0.030578,           0.0042008,          0.00021061,            0.003565,            0.003565,            0.003565
                 132,            0.037716,           0.0074298,          0.00069434,             0.84661,             0.81573,             0.85052,             0.51184,            0.030699,           0.0042205,          0.00020832,           0.0035155,           0.0035155,           0.0035155
                 133,            0.037883,           0.0075372,           0.0008782,             0.85393,              0.8223,             0.85273,             0.50776,            0.030632,           0.0042042,          0.00023172,            0.003466,            0.003466,            0.003466
                 134,            0.038021,           0.0073627,          0.00073999,             0.83061,             0.83205,             0.84786,             0.51198,            0.030726,           0.0042074,          0.00022364,           0.0034165,           0.0034165,           0.0034165
                 135,            0.037609,           0.0073909,          0.00053666,             0.85201,             0.82438,             0.85521,              0.5094,            0.030533,           0.0042036,          0.00021393,            0.003367,            0.003367,            0.003367
                 136,            0.037157,           0.0072549,          0.00069078,             0.86437,             0.83976,             0.86455,             0.51788,            0.030535,           0.0041841,          0.00021225,           0.0033175,           0.0033175,           0.0033175
                 137,            0.037092,           0.0071868,          0.00070241,             0.86173,             0.82738,             0.85736,             0.51537,            0.030643,           0.0042021,           0.0002456,            0.003268,            0.003268,            0.003268
                 138,            0.037084,           0.0074148,          0.00079753,             0.86301,             0.83213,             0.86479,             0.51021,            0.030703,             0.00421,          0.00022998,           0.0032185,           0.0032185,           0.0032185
                 139,            0.037389,            0.007598,          0.00062278,             0.87761,             0.82315,              0.8576,             0.51486,            0.030487,           0.0041951,          0.00022074,            0.003169,            0.003169,            0.003169
                 140,            0.036882,            0.007249,          0.00080943,             0.85782,              0.8394,              0.8624,             0.51784,            0.030362,            0.004175,          0.00023732,           0.0031195,           0.0031195,           0.0031195
                 141,            0.037075,           0.0073372,           0.0006245,             0.85848,             0.84083,             0.86479,             0.52291,            0.030502,           0.0041677,          0.00022176,             0.00307,             0.00307,             0.00307
                 142,            0.036368,           0.0073685,          0.00070724,             0.86214,              0.8338,             0.86463,             0.52571,             0.03029,           0.0041608,          0.00022755,           0.0030205,           0.0030205,           0.0030205
                 143,            0.036794,           0.0074606,          0.00063802,             0.86365,             0.83929,             0.86596,             0.52204,            0.030395,           0.0041744,          0.00022727,            0.002971,            0.002971,            0.002971
                 144,             0.03607,           0.0072024,          0.00061262,             0.85126,             0.84679,             0.86677,             0.51689,            0.030292,           0.0041788,          0.00023016,           0.0029215,           0.0029215,           0.0029215
                 145,            0.036738,           0.0073168,          0.00070043,             0.85706,             0.83982,             0.85958,             0.51738,            0.030304,           0.0041781,          0.00022251,            0.002872,            0.002872,            0.002872
                 146,            0.036856,           0.0074533,          0.00081983,             0.85349,             0.82807,             0.85619,             0.51509,            0.030434,           0.0041843,          0.00020407,           0.0028225,           0.0028225,           0.0028225
                 147,            0.036681,           0.0073158,          0.00074242,             0.85981,             0.83614,              0.8585,             0.51671,            0.030482,           0.0041795,          0.00019712,            0.002773,            0.002773,            0.002773
                 148,            0.036489,           0.0072278,          0.00058153,             0.85656,             0.83924,             0.85695,             0.51936,            0.030382,           0.0041681,          0.00019142,           0.0027235,           0.0027235,           0.0027235
                 149,            0.036441,           0.0073938,          0.00070173,             0.86215,             0.83755,             0.85761,             0.52104,             0.03041,           0.0041676,          0.00020291,            0.002674,            0.002674,            0.002674
                 150,            0.036293,           0.0072783,          0.00056689,             0.87229,             0.83282,             0.86156,             0.52227,            0.030399,           0.0041529,          0.00019498,           0.0026245,           0.0026245,           0.0026245
                 151,            0.036168,           0.0072824,          0.00062313,             0.86408,             0.83256,              0.8575,              0.5239,            0.030384,           0.0041469,          0.00019173,            0.002575,            0.002575,            0.002575
                 152,            0.036478,           0.0074126,          0.00069053,             0.86015,             0.83309,             0.85628,             0.52243,            0.030224,            0.004137,          0.00018959,           0.0025255,           0.0025255,           0.0025255
                 153,            0.035487,           0.0073343,          0.00054663,             0.86692,             0.83325,             0.85716,             0.52019,            0.030303,            0.004139,          0.00019286,            0.002476,            0.002476,            0.002476
                 154,            0.036287,           0.0071167,          0.00057536,             0.85848,             0.83615,             0.85966,             0.51653,            0.030359,           0.0041311,          0.00018618,           0.0024265,           0.0024265,           0.0024265
                 155,            0.035171,           0.0070781,          0.00045436,             0.86495,             0.83284,             0.86189,              0.5183,            0.030271,            0.004128,            0.000188,            0.002377,            0.002377,            0.002377
                 156,            0.035094,           0.0071161,          0.00050527,             0.86192,             0.83631,             0.85713,             0.51625,             0.03013,           0.0041233,          0.00018224,           0.0023275,           0.0023275,           0.0023275
                 157,            0.035373,            0.007023,          0.00044724,             0.86338,             0.84122,             0.85946,              0.5202,             0.03004,           0.0041253,          0.00018828,            0.002278,            0.002278,            0.002278
